티커,공매도잔고,상장주식수,공매도금액,시가총액,비중,시장
005880,842583,322747340,1632083271,625161597580.0,0.26,KOSPI
003830,0,1328000,0,150196800000.0,0.0,KOSPI
016090,0,44282310,0,68637580500.0,0.0,KOSPI
069460,56553,17414390,150430980,46322277400.0,0.32,KOSPI
475560,47543,14827970,760688000,237247520000.0,0.32,KOSPI
192080,57743,21173468,4157496000,1524489696000.0,0.27,KOSPI
012510,0,29123883,0,3494865960000.0,0.0,KOSPI
004830,172841,15680000,617906575,56056000000.0,1.1,KOSPI
004835,0,1392000,0,7308000000.0,0.0,KOSPI
145720,2932,8623891,130474000,383763149500.0,0.03,KOSPI
002150,19450,33720000,100167500,173658000000.0,0.06,KOSPI
460850,60598,29898656,312079700,153978078400.0,0.2,KOSPI
460860,194687,49608017,1771651700,451432954700.0,0.39,KOSPI
001230,123000,155507715,224844000,284268103020.0,0.08,KOSPI
023450,5495,3500000,155508500,99050000000.0,0.16,KOSPI
004140,1240703,47971766,2374705542,91817960124.0,2.59,KOSPI
007590,0,13617577,0,79526649680.0,0.0,KOSPI
005960,75199,22946663,452697980,138138911260.0,0.33,KOSPI
005965,0,225732,0,3498846000.0,0.0,KOSPI
026960,1567408,99700000,39028459200,2482530000000.0,1.57,KOSPI
002210,0,96619507,0,94010780311.0,0.0,KOSPI
102260,0,50669591,0,189504270340.0,0.0,KOSPI
000640,0,6732527,0,560146246400.0,0.0,KOSPI
170900,21909,9727819,816110250,362361257750.0,0.23,KOSPI
028100,31571,13389502,443256840,187988608080.0,0.24,KOSPI
001520,579244,238684063,318004956,131037550587.0,0.24,KOSPI
001527,0,478569,0,3436125420.0,0.0,KOSPI
084670,47369,2895569,1759758350,107570388350.0,1.64,KOSPI
082640,0,156062581,0,1184514989790.0,0.0,KOSPI
001525,0,617731,0,2841562600.0,0.0,KOSPI
018500,0,46754933,0,64521807540.0,0.0,KOSPI
006040,254832,44140819,8294781600,1436783658450.0,0.58,KOSPI
030720,22396,4653805,134823920,28015906100.0,0.48,KOSPI
014820,111916,28991282,2174527880,563300609260.0,0.39,KOSPI
014825,0,264111,0,3747735090.0,0.0,KOSPI
111380,18163,6128000,230670100,77825600000.0,0.3,KOSPI
163560,0,13900000,0,85902000000.0,0.0,KOSPI
004890,0,2425215,0,86216393250.0,0.0,KOSPI
002690,0,20300360,0,26999478800.0,0.0,KOSPI
000020,0,27931470,0,149712679200.0,0.0,KOSPI
000150,28355,16193835,44403930000,25359545610000.0,0.18,KOSPI
000157,508,893038,220726000,388025011000.0,0.06,KOSPI
454910,902760,64819980,105261816000,7558009668000.0,1.39,KOSPI
241560,0,95856065,0,6077274521000.0,0.0,KOSPI
034020,502499,640561146,46380657700,59123793775800.0,0.08,KOSPI
000155,859,3996462,467296000,2174075328000.0,0.02,KOSPI
336260,261982,65493726,18862704000,4715548272000.0,0.4,KOSPI
33626K,0,13364200,0,108116378000.0,0.0,KOSPI
33626L,0,2986300,0,26816974000.0,0.0,KOSPI
016740,62413,28674024,278986110,128172887280.0,0.22,KOSPI
192650,0,68974199,0,330386413210.0,0.0,KOSPI
024090,0,11400000,0,127566000000.0,0.0,KOSPI
003160,38895,28300000,1091004750,793815000000.0,0.14,KOSPI
092200,1031078,38888569,10867562120,409885517260.0,2.65,KOSPI
377190,0,88400000,0,211718000000.0,0.0,KOSPI
013570,102121,26319633,387549195,99883007235.0,0.39,KOSPI
024900,0,32564980,0,62068851880.0,0.0,KOSPI
002880,0,46773995,0,36296620120.0,0.0,KOSPI
210540,0,11041708,0,135371340080.0,0.0,KOSPI
032350,94493,79601474,1636618760,1378697529680.0,0.12,KOSPI
089860,200417,36309388,6072635100,1100174456400.0,0.55,KOSPI
330590,1848484,288968884,6386512220,998387494220.0,0.64,KOSPI
